#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.63911  0.36408  0.06132  1.26046  0.001814  0.000606  0.000903     2.993
   0.65517  0.34802  0.06141  1.26568  0.001740  0.000589  0.001003     2.954
   0.67125  0.33195  0.06135  1.27067  0.001677  0.000572  0.001083     2.930
   0.68733  0.31587  0.06115  1.27554  0.001622  0.000556  0.001148     2.916
   0.70342  0.29978  0.06081  1.28055  0.001568  0.000540  0.001215     2.903
   0.71951  0.28370  0.06032  1.28557  0.001518  0.000524  0.001269     2.898
   0.73559  0.26763  0.05969  1.29096  0.001464  0.000507  0.001341     2.888
   0.75166  0.25158  0.05892  1.29659  0.001409  0.000490  0.001421     2.877
   0.76770  0.23556  0.05799  1.30247  0.001354  0.000472  0.001506     2.868
   0.78372  0.21958  0.05691  1.30870  0.001296  0.000454  0.001609     2.855
   0.79971  0.20364  0.05565  1.31513  0.001240  0.000436  0.001709     2.847
   0.81567  0.18775  0.05421  1.32190  0.001185  0.000417  0.001813     2.841
   0.83159  0.17191  0.05258  1.32917  0.001128  0.000398  0.001931     2.835
   0.84747  0.15614  0.05074  1.33702  0.001069  0.000378  0.002064     2.829
   0.86328  0.14046  0.04868  1.34572  0.001006  0.000357  0.002244     2.818
   0.87902  0.12490  0.04638  1.35511  0.000940  0.000335  0.002459     2.805
   0.89463  0.10950  0.04380  1.36524  0.000874  0.000313  0.002700     2.795
   0.91010  0.09430  0.04093  1.37645  0.000805  0.000289  0.002993     2.785
   0.92544  0.07930  0.03770  1.38931  0.000729  0.000264  0.003455     2.759
   0.94052  0.06466  0.03408  1.40291  0.000654  0.000238  0.003953     2.746
   0.95495  0.05079  0.03010  1.41809  0.000583  0.000212  0.004430     2.755
   0.96876  0.03769  0.02570  1.43768  0.000493  0.000182  0.005618     2.711
   0.98151  0.02588  0.02091  1.45601  0.000397  0.000152  0.007870     2.620
   0.99097  0.01741  0.01671  1.46603  0.000346  0.000129  0.008480     2.679
   0.99801  0.01135  0.01312  1.48827  0.000303  0.000107  0.008153     2.825
   1.00382  0.00663  0.00973  1.51848  0.000205  0.000082  0.018288     2.495
